owner,category,asset_id,expected_path,source_size,alpha,safe_zone,status,notes
user,character,chr_01_battle_idle,art-drop/characters/chr_01/chr_01_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,character,chr_01_card,art-drop/characters/chr_01/chr_01_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,character,chr_01_cabin_base,art-drop/characters/chr_01/chr_01_cabin_base.png,2048x3072,yes,"rightmost 32% clear of face",ready,"anchor 1024,2960"
user,character,chr_02_portrait_neutral,art-drop/characters/chr_02/chr_02_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,character,chr_02_portrait_happy,art-drop/characters/chr_02/chr_02_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_02_portrait_angry,art-drop/characters/chr_02/chr_02_portrait_angry.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_02_portrait_hurt,art-drop/characters/chr_02/chr_02_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_02_battle_idle,art-drop/characters/chr_02/chr_02_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,character,chr_02_card,art-drop/characters/chr_02/chr_02_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,character,chr_02_cabin_base,art-drop/characters/chr_02/chr_02_cabin_base.png,2048x3072,yes,"rightmost 32% clear of face",ready,"anchor 1024,2960"
user,character,chr_02_cabin_outfit_02,art-drop/characters/chr_02/chr_02_cabin_outfit_02.png,2048x3072,yes,"rightmost 32% clear of face",ready,"align with cabin_base"
user,character,chr_03_portrait_neutral,art-drop/characters/chr_03/chr_03_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,character,chr_03_portrait_happy,art-drop/characters/chr_03/chr_03_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_03_portrait_angry,art-drop/characters/chr_03/chr_03_portrait_angry.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_03_portrait_hurt,art-drop/characters/chr_03/chr_03_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_03_battle_idle,art-drop/characters/chr_03/chr_03_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,character,chr_03_card,art-drop/characters/chr_03/chr_03_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,character,chr_03_cabin_base,art-drop/characters/chr_03/chr_03_cabin_base.png,2048x3072,yes,"rightmost 32% clear of face",ready,"anchor 1024,2960"
user,character,chr_04_portrait_neutral,art-drop/characters/chr_04/chr_04_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,character,chr_04_portrait_happy,art-drop/characters/chr_04/chr_04_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_04_portrait_angry,art-drop/characters/chr_04/chr_04_portrait_angry.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_04_portrait_hurt,art-drop/characters/chr_04/chr_04_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_04_battle_idle,art-drop/characters/chr_04/chr_04_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,character,chr_04_card,art-drop/characters/chr_04/chr_04_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,character,chr_04_cabin_base,art-drop/characters/chr_04/chr_04_cabin_base.png,2048x3072,yes,"rightmost 32% clear of face",ready,"anchor 1024,2960"
user,event_cg,evt_chr02_bond03_cg01,art-drop/events/chr_02/evt_chr02_bond03_cg01.png,2560x1440,no,"important X6-94% Y6-78%; bottom 22% clear",ready,"adult event; no baked UI"
user,event_cg,evt_chr02_status_cg01,art-drop/events/chr_02/evt_chr02_status_cg01.png,2560x1440,no,"important X6-94% Y6-78%; bottom 22% clear",ready,"adult event; no baked UI"
user,event_cg,evt_chr02_defeat_cg01,art-drop/events/chr_02/evt_chr02_defeat_cg01.png,2560x1440,no,"important X6-94% Y6-78%; bottom 22% clear",ready,"adult event; no baked UI"
user,weapon,wpn_01_sunblade,art-drop/weapons/wpn_01_sunblade.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_02_molten_lance,art-drop/weapons/wpn_02_molten_lance.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_03_tidemark_axe,art-drop/weapons/wpn_03_tidemark_axe.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_04_resonance_staff,art-drop/weapons/wpn_04_resonance_staff.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_05_fireline_dagger,art-drop/weapons/wpn_05_fireline_dagger.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_06_route_bow,art-drop/weapons/wpn_06_route_bow.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_07_expedition_rifle,art-drop/weapons/wpn_07_expedition_rifle.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_08_shoreguard_shield,art-drop/weapons/wpn_08_shoreguard_shield.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_09_astrolabe,art-drop/weapons/wpn_09_astrolabe.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_10_dawn_greatblade,art-drop/weapons/wpn_10_dawn_greatblade.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_11_depth_anchor,art-drop/weapons/wpn_11_depth_anchor.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,weapon,wpn_12_void_prism,art-drop/weapons/wpn_12_void_prism.png,1024x1024,yes,"92 all sides",ready,"axis 55-70 degrees"
user,summon,smn_01_solar_leviathan,art-drop/summons/smn_01_solar_leviathan.png,1600x1600,yes,"128 all sides",ready,"single clear silhouette"
user,summon,smn_02_abyssal_oracle,art-drop/summons/smn_02_abyssal_oracle.png,1600x1600,yes,"128 all sides",ready,"single clear silhouette"
user,enemy,enm_01_port_raider,art-drop/enemies/enm_01_port_raider.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,enemy,enm_02_tide_drone,art-drop/enemies/enm_02_tide_drone.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,enemy,enm_03_ruin_guardian,art-drop/enemies/enm_03_ruin_guardian.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,boss,boss_01_tidal_watchkeeper_idle,art-drop/bosses/boss_01_tidal_watchkeeper_idle.png,3072x2048,yes,"L/R 180; T 128; B 80",ready,"anchor 1536,1940"
user,boss,boss_01_tidal_watchkeeper_break,art-drop/bosses/boss_01_tidal_watchkeeper_break.png,3072x2048,yes,"L/R 180; T 128; B 80",ready,"align with idle"
codex,background,bg_title_harbor,generated-ui/backgrounds/bg_title_harbor.png,2560x1440,no,"center subject; edges UI-safe",ready,"image generation; no text"
codex,background,bg_hub_harbor,generated-ui/backgrounds/bg_hub_harbor.png,2560x1440,no,"center subject; edges UI-safe",ready,"image generation; no text"
codex,background,bg_recruit_observatory,generated-ui/backgrounds/bg_recruit_observatory.png,2560x1440,no,"center clear for effects",ready,"image generation; no characters"
codex,background,bg_loadout_console,generated-ui/backgrounds/bg_loadout_console.png,2560x1440,no,"low contrast center",ready,"image generation; no text"
codex,background,bg_battle_land,generated-ui/backgrounds/bg_battle_land.png,2560x1440,no,"bottom 32% clean",ready,"image generation; no enemies"
codex,background,bg_battle_ocean,generated-ui/backgrounds/bg_battle_ocean.png,2560x1440,no,"center 45% clear for boss",ready,"image generation; no boss"
codex,background,bg_private_cabin,generated-ui/backgrounds/bg_private_cabin.png,2560x1440,no,"right 35% UI-safe",ready,"image generation; no character"
codex,background,bg_ending_star_signal,generated-ui/backgrounds/bg_ending_star_signal.png,2560x1440,no,"center signal; bottom 22% clear",ready,"image generation; no text"
codex,ui_frame,frame_common,generated-ui/frames/frame_common.png,1024x1024,yes,"64 all sides",ready,"no text"
codex,ui_frame,frame_r,generated-ui/frames/frame_r.png,1024x1024,yes,"64 all sides",ready,"no text"
codex,ui_frame,frame_sr,generated-ui/frames/frame_sr.png,1024x1024,yes,"64 all sides",ready,"no text"
codex,ui_frame,frame_ssr,generated-ui/frames/frame_ssr.png,1024x1024,yes,"64 all sides",ready,"no text"
codex,element_badge,badge_fire,generated-ui/badges/badge_fire.png,512x512,yes,"48 all sides",ready,"no text"
codex,element_badge,badge_water,generated-ui/badges/badge_water.png,512x512,yes,"48 all sides",ready,"no text"
codex,element_badge,badge_wind,generated-ui/badges/badge_wind.png,512x512,yes,"48 all sides",ready,"no text"
codex,element_badge,badge_earth,generated-ui/badges/badge_earth.png,512x512,yes,"48 all sides",ready,"no text"
codex,element_badge,badge_light,generated-ui/badges/badge_light.png,512x512,yes,"48 all sides",ready,"no text"
codex,element_badge,badge_dark,generated-ui/badges/badge_dark.png,512x512,yes,"48 all sides",ready,"no text"
codex,button,button_idle,generated-ui/controls/button_idle.png,1024x384,yes,"48 all sides",ready,"texture only"
codex,button,button_hover,generated-ui/controls/button_hover.png,1024x384,yes,"48 all sides",ready,"texture only"
codex,button,button_pressed,generated-ui/controls/button_pressed.png,1024x384,yes,"48 all sides",ready,"texture only"
codex,ui_frame,boss_mode_frame,generated-ui/controls/boss_mode_frame.png,2048x256,yes,"32 all sides",ready,"frame only"
codex,ui_frame,charge_frame,generated-ui/controls/charge_frame.png,2048x256,yes,"32 all sides",ready,"frame only"
codex,ui_frame,dialog_plate,generated-ui/controls/dialog_plate.png,2048x512,yes,"64 all sides",ready,"no text"
codex,ui_frame,tab_plate,generated-ui/controls/tab_plate.png,1024x256,yes,"32 all sides",ready,"no text"
